subbasin,month,mean_delta,std_delta,p10_delta,p90_delta,n_gcm
PHOENIX AMA,9,0.16283858918029112,0.4394863702037051,-0.35334179392189075,0.6911889233725733,14
RANEGRAS PLAIN,9,0.09965259568002212,0.3555456222954872,-0.3691942491030246,0.5252868123421779,14
MORENCI,9,-0.2429669182284491,0.562130663209265,-0.7922865795519646,0.4300894809720331,14
HARQUAHALA INA,9,0.11186012789533015,0.3781615393137616,-0.3957692001078549,0.575639974495557,14
SAFFORD,9,-0.11976350675315939,0.4698495287404399,-0.652516045586386,0.45037534387987477,14
LOWER GILA,9,0.1256252278084792,0.28783710200351853,-0.27188863385585493,0.4721500017586878,14
BONITA CREEK,9,-0.08222948041482282,0.488819421154829,-0.5781383895726797,0.48554394194029193,14
LOWER SAN PEDRO,9,0.07059475476519937,0.4292911341591657,-0.3996141642542458,0.6025375557544472,14
PINAL AMA,9,0.22332451352030272,0.36174065074338857,-0.24541693024335778,0.6672377636792433,14
DRIPPING SPRING WASH,9,0.06843960057774821,0.5591620590439443,-0.4818374919929976,0.8441746350267171,14
GILA BEND,9,0.19600034060274088,0.3877796091557631,-0.36629327200374195,0.6034229512461821,14
DONNELLY WASH,9,0.1627574205224179,0.48999605253456313,-0.36938642943964123,0.9047380873696875,14
DUNCAN VALLEY,9,-0.24917789170751853,0.41208642634250375,-0.7277649966734326,0.24234197675949093,14
ARAVAIPA CANYON,9,0.06334427477074804,0.4650104332001644,-0.4173021118811442,0.6232667746435939,14
YUMA,9,0.05911364060722933,0.3220797482377668,-0.3524333958472492,0.43981381755328597,14
TUCSON AMA,9,0.09561830475272394,0.37890661686803956,-0.3716067983076182,0.6200241029158368,14
WILLCOX AMA,9,-0.11949168633353945,0.41953304133564956,-0.5621194171746028,0.3239684249856192,14
SAN SIMON WASH,9,0.17291592281203977,0.32861037316900393,-0.27616744154268436,0.5806022587712154,14
UPPER SAN PEDRO,9,-0.025588968641611236,0.3943408877773405,-0.43097816961949903,0.47232158342724545,14
WESTERN MEXICAN DRAINAGE,9,0.10544043728116517,0.2603246273184952,-0.25124408491103845,0.37143427488901476,14
CIENEGA CREEK,9,0.10065186168187146,0.4030535479102755,-0.32481607310143823,0.5456765028508974,14
DOUGLAS AMA,9,-0.1660746219007534,0.42847871428404966,-0.479147672982771,0.4140338726171452,14
SANTA CRUZ AMA,10,0.36997285125996154,0.4006812808598843,-0.046019399322887206,0.9701874787199856,14
SAN BERNARDINO VALLEY,10,0.2926632231437805,0.5945256639497885,-0.44560613623030837,1.130289619184109,14
SAN RAFAEL,10,0.43571463572870134,0.634808735763607,-0.12325300678072047,1.173921308300839,14
TIGER WASH,10,0.18575083374000326,0.1570648633038231,0.018086275201318832,0.34645452618602113,14
VIRGIN RIVER,10,0.10987334550817793,0.23879619719536843,-0.17663886177040253,0.4131783098044651,14
SHIVWITS PLATEAU,10,0.1397797163928473,0.2028906675886591,-0.14167250759779362,0.3998597435166315,14
KANAB PLATEAU,10,0.13610321595235492,0.23464769692898715,-0.11690168433952305,0.4245522729818059,14
LITTLE COLORADO RIVER PLATEAU,10,0.14805423900926581,0.24534061318109446,-0.058079245036296544,0.3761831179764288,14
PARIA,10,0.16361266549145367,0.18857221150904205,-0.11296376334885543,0.38740804567627257,14
GRAND WASH,10,0.08400640680972093,0.21716910874370343,-0.24924141895051602,0.3188258897998173,14
COCONINO PLATEAU,10,0.16126530943739856,0.22498267796872118,-0.07633140084557753,0.45151794081852387,14
HUALAPAI VALLEY INA,10,0.13458241480670935,0.2036291952120236,-0.16061600597567938,0.36687092657084786,14
MEADVIEW,10,0.1186982075249673,0.19038300820414306,-0.1398458926930596,0.3094411079591827,14
DETRITAL VALLEY,10,0.07579437645127331,0.19377622753442364,-0.21403276739274738,0.2834890271760648,14
LAKE MOHAVE,10,0.08167921778102774,0.1775514917287091,-0.16185554979148717,0.30337910706437643,14
PEACH SPRINGS,10,0.17819297391079383,0.20712013039809266,-0.08119526057294106,0.4479966356530081,14
VERDE RIVER,10,0.22203047984954932,0.3213349442439979,-0.12072629742253402,0.7069664558168467,14
BIG SANDY,10,0.17476650183929762,0.2182570221264267,-0.09744144797541672,0.4653247578410017,14
SACRAMENTO VALLEY,10,0.13073435326889674,0.19448735359353372,-0.12183828121136059,0.3666579966133947,14
JOSEPH CITY INA,10,0.164217781055284,0.23917312039568145,-0.028893012578743965,0.3802105401955639,14
BILL WILLIAMS,10,0.1941508911912216,0.21509188768008938,-0.08144414900508118,0.4641692511339081,14
PRESCOTT AMA,10,0.2412738734654226,0.2613021122795252,-0.03698864938600091,0.5542875917807036,14
LAKE HAVASU,10,0.13350810763156506,0.15235941780180495,-0.05490081515353337,0.3241819205817715,14
AGUA FRIA,10,0.23111422295891407,0.2877902230597991,-0.13509108156353639,0.6065128445437616,14
UPPER HASSAYAMPA,10,0.24462681444040588,0.22024606302575725,-0.07203046108970804,0.49215292127115046,14
TONTO CREEK,10,0.2837474577502816,0.39235069755684,-0.22114090254282473,0.8065630191546828,14
SALT RIVER,10,0.2508923403233982,0.3924123381642084,-0.24375328304052762,0.7274539900872757,14
PARKER,10,0.10451751673745116,0.13144626629844974,-0.06725480349066755,0.2605676657507144,14
BUTLER VALLEY,10,0.12412820996379052,0.15673076511873263,-0.07443816823638363,0.3019751111652234,14
MCMULLEN VALLEY,10,0.16405620197176102,0.15428348345448092,-0.005470854025121451,0.3665701739990894,14
PHOENIX AMA,10,0.19210399779388285,0.2377465480833416,-0.06501258455836373,0.5366311431783778,14
RANEGRAS PLAIN,10,0.12020424473120005,0.1603338968418621,-0.03766988690914276,0.2939291023398472,14
MORENCI,10,0.13296871818396797,0.45838911212245365,-0.43066213714245616,0.6571286995210132,14
HARQUAHALA INA,10,0.16477038483374082,0.1622051944829589,1.0289103874940031e-05,0.35965278922936306,14
SAFFORD,10,0.27925839333708286,0.4015230155739021,-0.1376060207592438,0.8263686749176788,14
LOWER GILA,10,0.13259345253543736,0.1205257602238158,-0.020526824494663157,0.2804798268301053,14
BONITA CREEK,10,0.21328941863242243,0.4272664337176032,-0.34996349661323145,0.7675745499324096,14
LOWER SAN PEDRO,10,0.2659568111864002,0.378217110326079,-0.178127762927165,0.6126440303226505,14
PINAL AMA,10,0.2270512754856982,0.253695767730581,-0.07590847813169632,0.5817736074395268,14
DRIPPING SPRING WASH,10,0.2390644771512142,0.4151493943083375,-0.2926482982332124,0.7450826689816504,14
GILA BEND,10,0.127498243474589,0.18206783791855183,-0.052610388312163185,0.39346670330539246,14
DONNELLY WASH,10,0.21055726898210222,0.33790517687126614,-0.27946302031946607,0.6207108387691874,14
DUNCAN VALLEY,10,0.18459906745393395,0.4442725034988452,-0.27876604261926174,0.7944563635669383,14
ARAVAIPA CANYON,10,0.2695338067189862,0.41099922014324825,-0.2521524502426422,0.7279486873773869,14
YUMA,10,0.10914222599759647,0.1274075929030501,-0.04838491397324799,0.2569997961795577,14
TUCSON AMA,10,0.28458977693386295,0.33238588619650195,-0.12388274187283771,0.6875396683597911,14
WILLCOX AMA,10,0.32419346935181476,0.48742159788323913,-0.17403512480609856,0.9447429517329106,14
SAN SIMON WASH,10,0.29713950827293134,0.28577243266958535,-0.0006376451133328024,0.6256768020790024,14
UPPER SAN PEDRO,10,0.3709343837384127,0.4615638724322692,-0.16300660925480898,0.9649244737926126,14
WESTERN MEXICAN DRAINAGE,10,0.15056584084696273,0.18072849223068255,-0.012876046302393886,0.3730500655931567,14
CIENEGA CREEK,10,0.41254015828144663,0.43009569472001474,-0.004284264278955488,0.9786874547266259,14
DOUGLAS AMA,10,0.32024084076373033,0.47198350556642965,-0.2543329725544225,1.0128096655458485,14
SANTA CRUZ AMA,11,-0.04185992395717395,0.32217332537470517,-0.3471696052141023,0.19645880385391154,14
SAN BERNARDINO VALLEY,11,0.027730742720941535,0.43319989178693064,-0.3885092478324084,0.3732706431856883,14
SAN RAFAEL,11,-0.07239129757608821,0.3385057477647683,-0.5188327000424077,0.17947495891603474,14
TIGER WASH,11,-0.07555616409161826,0.17226212207885527,-0.22296816806693232,0.12632715518415708,14
VIRGIN RIVER,11,-0.17951791023046912,0.14386764000076266,-0.3419845947952391,-0.031271372731983445,14
SHIVWITS PLATEAU,11,-0.1764653486225846,0.14769981395722637,-0.36978548936342726,0.0049520987074846284,14
KANAB PLATEAU,11,-0.21674365745936888,0.14088289090226255,-0.4187922246319416,-0.04546150718134131,14
LITTLE COLORADO RIVER PLATEAU,11,-0.08299870090174366,0.17002752200833735,-0.2832215146827249,0.15670717208939444,14
PARIA,11,-0.04357039035344022,0.12006862203823808,-0.16111567376018956,0.10386665163331302,14
GRAND WASH,11,-0.23236097238741402,0.16672543196470013,-0.4200487318555596,-0.038735622920355484,14
COCONINO PLATEAU,11,-0.10867624811497374,0.11311500276785488,-0.23557114628268888,0.0554129932896009,14
HUALAPAI VALLEY INA,11,-0.06617906379602874,0.16728139384359098,-0.24512734095849245,0.10796475958049571,14
MEADVIEW,11,-0.044862293132871156,0.1621902795290353,-0.23588270338457126,0.07938113647221351,14
DETRITAL VALLEY,11,-0.06755498567614103,0.1372232748224471,-0.23621925035719624,0.0745345431234836,14
LAKE MOHAVE,11,-0.08119589766347331,0.14099108024254542,-0.2221429779275633,0.0640871724148516,14
